Latitude,Longitude,,,,,,,,,,,,,,,,,,,,
36.092945,-121.430357,,,,,,,,,,,,,,,,,,,,
36.092955,-121.422941,,,,,,,,,,,,,,,,,,,,
36.2806,-121.86278,,,,,,,,,,,,,,,,,,,,
36.28077,-121.86196,,,,,,,,,,,,,,,,,,,,
36.28085,-121.86292,,,,,,,,,,,,,,,,,,,,
36.28131,-121.86274,,,,,,,,,,,,,,,,,,,,
36.36418,-121.562492,,,,,,,,,,,,,,,,,,,,
36.364191,-121.562504,,,,,,,,,,,,,,,,,,,,
36.375937,-121.545715,,,,,,,,,,,,,,,,,,,,
36.376128,-121.545537,,,,,,,,,,,,,,,,,,,,
36.383963,-121.556578,,,,,,,,,,,,,,,,,,,,
36.383996,-121.556993,,,,,,,,,,,,,,,,,,,,
36.604735,-121.869408,,,,,,,,,,,,,,,,,,,,
36.604926,-121.868579,,,,,,,,,,,,,,,,,,,,
36.605398,-121.868871,,,,,,,,,,,,,,,,,,,,
36.618215,-121.941219,,,,,,,,,,,,,,,,,,,,
36.618911,-121.941715,,,,,,,,,,,,,,,,,,,,
36.623,-121.694,,,,,,,,,,,,,,,,,,,,
36.660534,-121.753023,,,,,,,,,,,,,,,,,,,,
36.66089,-121.751369,,,,,,,,,,,,,,,,,,,,
36.663697,-121.754002,,,,,,,,,,,,,,,,,,,,
36.664547,-121.75796,,,,,,,,,,,,,,,,,,,,
36.665025,-121.75406,,,,,,,,,,,,,,,,,,,,
36.678393,-121.772092,,,,,,,,,,,,,,,,,,,,
36.679062,-121.771989,,,,,,,,,,,,,,,,,,,,
36.679202,-121.77686,,,,,,,,,,,,,,,,,,,,
36.679205,-121.771645,,,,,,,,,,,,,,,,,,,,
36.679711,-121.77255,,,,,,,,,,,,,,,,,,,,
36.680564,-121.776713,,,,,,,,,,,,,,,,,,,,
36.681594,-121.7707,,,,,,,,,,,,,,,,,,,,
36.681792,-121.771675,,,,,,,,,,,,,,,,,,,,
36.681996,-121.770355,,,,,,,,,,,,,,,,,,,,
36.682249,-121.770414,,,,,,,,,,,,,,,,,,,,
36.682264,-121.770379,,,,,,,,,,,,,,,,,,,,
36.682296,-121.770844,,,,,,,,,,,,,,,,,,,,
36.68369125,-121.7782381,,,,,,,,,,,,,,,,,,,,
36.68392105,-121.7812588,,,,,,,,,,,,,,,,,,,,
36.6840297,-121.7818254,,,,,,,,,,,,,,,,,,,,
36.68448668,-121.7775143,,,,,,,,,,,,,,,,,,,,
36.68486338,-121.7825804,,,,,,,,,,,,,,,,,,,,
36.68487587,-121.777557,,,,,,,,,,,,,,,,,,,,
36.844973,-119.099919,,,,,,,,,,,,,,,,,,,,
36.845171,-119.100044,,,,,,,,,,,,,,,,,,,,
36.852605,-119.097698,,,,,,,,,,,,,,,,,,,,
36.852605,-119.097698,,,,,,,,,,,,,,,,,,,,
36.855835,-119.096944,,,,,,,,,,,,,,,,,,,,
36.856019,-119.097225,,,,,,,,,,,,,,,,,,,,
36.94917,-122.068,,,,,,,,,,,,,,,,,,,,
36.94972,-122.067,,,,,,,,,,,,,,,,,,,,
36.951,-122.066,,,,,,,,,,,,,,,,,,,,
36.951,-122.066,,,,,,,,,,,,,,,,,,,,
36.95194,-122.067,,,,,,,,,,,,,,,,,,,,
37.00402374,-122.0564448,,,,,,,,,,,,,,,,,,,,
37.00409625,-122.0565161,,,,,,,,,,,,,,,,,,,,
37.00461828,-122.0685424,,,,,,,,,,,,,,,,,,,,
37.0049353,-122.0688591,,,,,,,,,,,,,,,,,,,,
37.00953658,-122.0661046,,,,,,,,,,,,,,,,,,,,
37.00991556,-122.0663552,,,,,,,,,,,,,,,,,,,,
37.04535,-122.23634,,,,,,,,,,,,,,,,,,,,
37.0456,-122.23637,,,,,,,,,,,,,,,,,,,,
37.04601,-122.23714,,,,,,,,,,,,,,,,,,,,
38.11576861,-122.2727112,,,,,,,,,,,,,,,,,,,,
38.16,-121.49,,,,,,,,,,,,,,,,,,,,
38.16,-121.49,,,,,,,,,,,,,,,,,,,,
38.16,-121.49,,,,,,,,,,,,,,,,,,,,
38.16,-121.49,,,,,,,,,,,,,,,,,,,,
38.16,-121.49,,,,,,,,,,,,,,,,,,,,
38.16,-121.49,,,,,,,,,,,,,,,,,,,,
38.19658158,-122.2903484,,,,,,,,,,,,,,,,,,,,
38.273241,-122.246662,,,,,,,,,,,,,,,,,,,,
38.273511,-122.247621,,,,,,,,,,,,,,,,,,,,
38.274501,-122.249089,,,,,,,,,,,,,,,,,,,,
38.274644,-122.251292,,,,,,,,,,,,,,,,,,,,
38.275518,-122.252177,,,,,,,,,,,,,,,,,,,,
38.275614,-122.252,,,,,,,,,,,,,,,,,,,,
38.31117396,-123.060862,,,,,,,,,,,,,,,,,,,,
38.31308504,-123.060896,,,,,,,,,,,,,,,,,,,,
38.316372,-123.069168,,,,,,,,,,,,,,,,,,,,
38.31648901,-123.06863,,,,,,,,,,,,,,,,,,,,
38.31708396,-123.070591,,,,,,,,,,,,,,,,,,,,
38.31754899,-123.069872,,,,,,,,,,,,,,,,,,,,
38.35548834,-122.1668756,,,,,,,,,,,,,,,,,,,,
38.47696746,-122.1426927,,,,,,,,,,,,,,,,,,,,
38.47699043,-122.1430816,,,,,,,,,,,,,,,,,,,,
38.48276042,-122.1515461,,,,,,,,,,,,,,,,,,,,
38.48287467,-122.1510902,,,,,,,,,,,,,,,,,,,,
38.48344796,-122.1492109,,,,,,,,,,,,,,,,,,,,
38.48355569,-122.1489199,,,,,,,,,,,,,,,,,,,,
38.56720087,-122.6868281,,,,,,,,,,,,,,,,,,,,
38.58095096,-122.6899487,,,,,,,,,,,,,,,,,,,,
38.860449,-122.40753,,,,,,,,,,,,,,,,,,,,
38.860754,-122.407217,,,,,,,,,,,,,,,,,,,,
38.8690657,-122.422103,,,,,,,,,,,,,,,,,,,,
38.86918976,-122.4224144,,,,,,,,,,,,,,,,,,,,
38.87313546,-122.4240689,,,,,,,,,,,,,,,,,,,,
38.87393187,-122.4240997,,,,,,,,,,,,,,,,,,,,
39.27192,-123.79073,,,,,,,,,,,,,,,,,,,,
39.27235,-123.7905,,,,,,,,,,,,,,,,,,,,
39.27409,-123.79122,,,,,,,,,,,,,,,,,,,,
39.27412,-123.79338,,,,,,,,,,,,,,,,,,,,
39.27419,-123.7911,,,,,,,,,,,,,,,,,,,,
39.27457,-123.7933,,,,,,,,,,,,,,,,,,,,
39.59357361,-121.5537899,,,,,,,,,,,,,,,,,,,,
39.59365951,-121.554084,,,,,,,,,,,,,,,,,,,,
39.5949237,-121.5490569,,,,,,,,,,,,,,,,,,,,
39.59527668,-121.549181,,,,,,,,,,,,,,,,,,,,
39.59709214,-121.5545884,,,,,,,,,,,,,,,,,,,,
39.59738516,-121.5539721,,,,,,,,,,,,,,,,,,,,
40.93986422,-124.1324927,,,,,,,,,,,,,,,,,,,,
40.9406215,-124.1316443,,,,,,,,,,,,,,,,,,,,
40.94147397,-124.1304618,,,,,,,,,,,,,,,,,,,,
41.02557,-124.10984,,,,,,,,,,,,,,,,,,,,
41.02595,-124.1125,,,,,,,,,,,,,,,,,,,,
41.02604,-124.11461,,,,,,,,,,,,,,,,,,,,
41.0271,-124.11153,,,,,,,,,,,,,,,,,,,,
41.02727,-124.10936,,,,,,,,,,,,,,,,,,,,
41.027953,-124.113931,,,,,,,,,,,,,,,,,,,,
41.083989,-122.71199,,,,,,,,,,,,,,,,,,,,
41.084234,-122.712937,,,,,,,,,,,,,,,,,,,,
41.0869777,-122.714624,,,,,,,,,,,,,,,,,,,,
41.087176,-122.714761,,,,,,,,,,,,,,,,,,,,
41.087865,-122.714252,,,,,,,,,,,,,,,,,,,,
41.088279,-122.714324,,,,,,,,,,,,,,,,,,,,
32.898931,-117.074229,,,,,,,,,,,,,,,,,,,,
